name,ticker,country,currency,exchange,status,last_date,current_close,split_buy_low_ref,split_buy_high_ref,split_buy_ref,target1_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,last_volume,last_trading_value,avg20_trading_value,low_liquidity,foreign_net_5d_value,foreign_net_20d_value,foreign_net_60d_value,institution_net_5d_value,institution_net_20d_value,institution_net_60d_value,data_rows,source_used,error,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst,ticker_aux,aux_name,aux_current_price,aux_compare_to_previous_close,aux_fluctuations_ratio,aux_accumulated_trading_volume,aux_accumulated_trading_value,aux_market_status,aux_local_traded_at,aux_source,aux_fetch_status
코리아써키트,007810,KR,KRW,KOSPI,OK,2026-07-08,66800.0,62800.0,66100.0,66100.0,78600.0,63000.0,5380.0,5.27,1.9,65000.0,148300.0,66800.0,141900.0,128.15,2.16,12852.0,858513600.0,41039175125.0,False,,,,,,,62,pykrx_adjusted,,26443486523,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260707,임원ㆍ주요주주특정증권등소유상황보고서,6,2026-07-08T10:06:24+09:00,007810,코리아써키트,66600.0,-2300.0,-3.34,,,OPEN,2026-07-08T10:23:18+09:00,NAVER,OK
코스모로보틱스,439960,KR,KRW,KOSDAQ,OK,2026-07-08,12540.0,11790.0,12410.0,12410.0,19730.0,11840.0,3270.0,10.45,2.3,12210.0,68500.0,12540.0,56200.0,461.02,0.59,26704.0,334868160.0,50931408706.0,False,,,,,,,41,pykrx_adjusted,,-2676757620,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,전환청구,주요주주변동",20260623,주식등의대량보유상황보고서(약식),22,2026-07-08T10:06:24+09:00,439960,코스모로보틱스,12470.0,-390.0,-3.03,,,OPEN,2026-07-08T10:24:18+09:00,NAVER,OK
파마리서치,214450,KR,KRW,KOSDAQ,OK,2026-07-08,324500.0,299500.0,321500.0,321500.0,346500.0,294500.0,10030.0,3.22,2.4,255000.0,378500.0,259000.0,366500.0,48.43,56.28,15934.0,5170583000.0,54259630950.0,False,,,,,,,62,pykrx_adjusted,,57292342573,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,주요주주변동,20260409,임원ㆍ주요주주특정증권등소유상황보고서,1,2026-07-08T10:06:24+09:00,214450,파마리서치,330000.0,-10500.0,-3.08,,,OPEN,2026-07-08T10:23:22+09:00,NAVER,OK
한미반도체,042700,KR,KRW,KOSPI,OK,2026-07-08,208000.0,201500.0,203500.0,203500.0,242000.0,193500.0,15400.0,5.06,1.8,199500.0,426000.0,208000.0,409500.0,113.53,3.75,77680.0,16157440000.0,397425707650.0,False,,,,,,,62,pykrx_adjusted,,8456257107,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260701,주식등의대량보유상황보고서(약식),3,2026-07-08T10:06:24+09:00,042700,한미반도체,211500.0,1000.0,0.48,,,OPEN,2026-07-08T10:23:19+09:00,NAVER,OK
한화오션,042660,KR,KRW,KOSPI,OK,2026-07-08,85500.0,80400.0,84600.0,84600.0,95300.0,82500.0,4470.0,3.82,2.1,85100.0,141900.0,85500.0,135000.0,66.75,0.7,395828.0,33843294000.0,264277088520.0,False,,,,,,,62,pykrx_adjusted,,441065118733,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260623,주식등의대량보유상황보고서(약식),1,2026-07-08T10:06:24+09:00,042660,한화오션,86100.0,-3700.0,-4.12,,,OPEN,2026-07-08T10:24:01+09:00,NAVER,OK
현대모비스,012330,KR,KRW,KOSPI,OK,2026-07-08,498500.0,441500.0,491500.0,491500.0,549000.0,430000.0,22800.0,4.11,2.1,386500.0,822000.0,391500.0,768000.0,112.68,25.72,64382.0,32094427000.0,267894642900.0,False,,,,,,,62,pykrx_adjusted,,802648000000,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,주요주주변동,20260610,임원ㆍ주요주주특정증권등소유상황보고서,1,2026-07-08T10:06:24+09:00,012330,현대모비스,508000.0,13000.0,2.63,,,OPEN,2026-07-08T10:23:21+09:00,NAVER,OK
현대오토에버,307950,KR,KRW,KOSPI,OK,2026-07-08,461500.0,387000.0,452500.0,452500.0,527000.0,372000.0,29850.0,4.95,2.4,379000.0,1066000.0,388000.0,938000.0,181.27,12.01,5122.0,2363803000.0,67408992625.0,False,,,,,,,62,pykrx_adjusted,,21175317000,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-07-08T10:06:24+09:00,307950,현대오토에버,467500.0,-14000.0,-2.91,,,OPEN,2026-07-08T10:24:17+09:00,NAVER,OK
현대차,005380,KR,KRW,KOSPI,OK,2026-07-08,466000.0,438000.0,461500.0,461500.0,509000.0,443500.0,19770.0,3.33,2.7,457000.0,783000.0,466000.0,750000.0,71.33,2.76,95969.0,44721554000.0,616892696750.0,False,,,,,,,62,pykrx_adjusted,,2514686000000,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,주요주주변동,20260511,임원ㆍ주요주주특정증권등소유상황보고서,5,2026-07-08T10:06:24+09:00,005380,현대차,478500.0,-1000.0,-0.21,,,OPEN,2026-07-08T10:23:22+09:00,NAVER,OK
현대차2우B,005387,KR,KRW,KOSPI,OK,2026-07-08,214500.0,206500.0,212500.0,212500.0,230500.0,198400.0,7210.0,2.88,1.9,204500.0,309500.0,211000.0,295500.0,51.34,9.52,9972.0,2138994000.0,32632584050.0,False,,,,,,,62,pykrx_adjusted,,,KRW,,,NO_CORP_CODE,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-07-08T10:06:24+09:00,005387,현대차2우B,223500.0,10500.0,4.93,,,OPEN,2026-07-08T10:24:04+09:00,NAVER,OK
현대차우,005385,KR,KRW,KOSPI,OK,2026-07-08,214500.0,207500.0,212500.0,212500.0,230000.0,199300.0,7160.0,2.84,2.0,205500.0,306500.0,212000.0,295000.0,49.15,8.91,6141.0,1317244500.0,19931635850.0,False,,,,,,,62,pykrx_adjusted,,,KRW,,,NO_CORP_CODE,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-07-08T10:06:24+09:00,005385,현대차우,223500.0,10000.0,4.68,,,OPEN,2026-07-08T10:23:51+09:00,NAVER,OK
